BindingDB_ID,chEMBL_ID,Ki_nM,IC50_nM,Kd_nM,EC50_nM,Molecule_name,Molecule_type,Molecular_formula,Molecular_weight,Synonyms,IN_ID,chEMBL_URL
BDBM14052,CHEMBL441702,,9.0,,,GSK270822A,Small molecule,C24H20N4O2,396.45,GSK270822A,IN248,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL441702.png?bgColor=white
BDBM14053,CHEMBL218720,,9.0,,,GSK466314A,Small molecule,C22H19F3N4O2,428.41,GSK466314A,IN249,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL218720.png?bgColor=white
BDBM14056,CHEMBL427058,,8.0,,,GSK466317A,Small molecule,C21H16ClF3N4O2,448.83,GSK466317A,IN250,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL427058.png?bgColor=white
BDBM25487,CHEMBL485598,,75.0,,,GSK317354A,Small molecule,C25H18F4N6O,494.45,GSK317354A,IN251,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL485598.png?bgColor=white
BDBM322155,CHEMBL2005186,,13110.0,,,SLx2119,Small molecule,C26H24N6O2,452.52,"SLx-2119, KD-025",IN252,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL2005186.png?bgColor=white
BDBM50319005,CHEMBL571948,,120.0,,,Y39983,Small molecule,C16H16N4O,280.33,Y-39983,IN253,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL571948.png?bgColor=white
BDBM50026798,CHEMBL1956072,,10.0,,,SB742548,Small molecule,C17H18ClN7O,371.83,SB-742548,IN254,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL1956072.png?bgColor=white
BDBM50381716,CHEMBL1980297,,456.0,,,ILORASERTIB,Small molecule,C25H21FN6O2S,488.55,"Ilorasertib, A-968660, ABT-348, ABT-348, A-968660",IN255,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL1980297.png?bgColor=white
BDBM50304148,CHEMBL17551,,181300.0,,,5-Aminoindazole,Small molecule,C7H7N3,133.15,5-Aminoindazole,IN256,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL17551.png?bgColor=white
BDBM50417857,CHEMBL1667969,,186.0,,,SAR407899,Small molecule,C14H16N2O2,244.29,SAR-407899,IN257,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL1667969.png?bgColor=white
BDBM50013811,CHEMBL275224,,19880.0,,,NORHARMANE,Small molecule,C11H8N2,168.2,"norharmane, norharman, beta-carboline",IN258,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL275224.png?bgColor=white
BDBM30709,CHEMBL1385840,,59640.0,,,ERGOCORNINE,Small molecule,C31H39N5O5,561.68,Ergocornine,IN259,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL1385840.png?bgColor=white
BDBM32097,CHEMBL216973,,30070.0,,,5-Aminoisoquinoline,Small molecule,C9H8N2,144.18,5-Aminoisoquinoline,IN260,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL216973.png?bgColor=white
BDBM39246,CHEMBL602837,,34140.0,,,GNFPf4369,Small molecule,C14H14N6O4,330.3,GNF-Pf-4369,IN261,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL602837.png?bgColor=white
BDBM39302,CHEMBL228792,,21370.0,,,KINETIN,Small molecule,C10H9N5O,215.22,Kinetin,IN262,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL228792.png?bgColor=white
BDBM50208336,CHEMBL238744,,1000.0,,,SR889,Small molecule,C19H19ClN4O2,370.84,SR-889,IN263,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL238744.png?bgColor=white
BDBM50208327,CHEMBL397114,,10000.0,,,SR1360,Small molecule,C14H19N5O,273.34,SR-1360,IN264,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL397114.png?bgColor=white
BDBM50208322,CHEMBL239150,,100.0,,,SR899,Small molecule,C19H19BrN4O2,415.29,SR-899,IN265,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL239150.png?bgColor=white
BDBM50208323,CHEMBL241271,,80.0,,,SR715,Small molecule,C20H21BrN4O2,429.32,SR-715,IN266,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL241271.png?bgColor=white
BDBM50208339,CHEMBL240646,,380.0,,,SR1357,Small molecule,C20H23N5O,349.44,SR-1357,IN267,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL240646.png?bgColor=white
BDBM50208335,CHEMBL239772,,1200.0,,,SR887,Small molecule,C19H19ClN4O2,370.84,SR-887,IN268,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL239772.png?bgColor=white
BDBM50208334,CHEMBL241270,,350.0,,,SR710,Small molecule,C20H21ClN4O2,384.87,SR-710,IN269,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL241270.png?bgColor=white
BDBM50208320,CHEMBL240645,,760.0,,,SR1353,Small molecule,C19H20ClN5O,369.86,SR-1353,IN270,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL240645.png?bgColor=white
BDBM50208331,CHEMBL239149,,800.0,,,SR897,Small molecule,C19H20N4O2,336.39,SR-897,IN271,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL239149.png?bgColor=white
BDBM50208319,CHEMBL392064,,1700.0,,,SR709,Small molecule,C20H21ClN4O2,384.87,SR-709,IN272,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL392064.png?bgColor=white
BDBM50208338,CHEMBL394438,,190.0,,,SR1351,Small molecule,C19H20ClN5O,369.86,SR-1351,IN273,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL394438.png?bgColor=white
BDBM50208332,CHEMBL238945,,3900.0,,,SR895,Small molecule,C16H22N4O2,302.38,SR-895,IN274,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL238945.png?bgColor=white
BDBM50208337,CHEMBL241064,,770.0,,,SR706,Small molecule,C20H22N4O2,350.42,SR-706,IN275,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL241064.png?bgColor=white
BDBM50208328,CHEMBL391189,,1300.0,,,SR1349,Small molecule,C19H21N5O,335.41,SR-1349,IN276,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL391189.png?bgColor=white
BDBM50208317,CHEMBL395942,,10000.0,,,SR705,Small molecule,C15H20N4O2,288.35,SR-705,IN277,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL395942.png?bgColor=white
BDBM50208318,CHEMBL239816,,13.0,,,SR1459,Small molecule,C20H22BrN5O,428.33,SR-1459,IN278,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL239816.png?bgColor=white
BDBM50208329,CHEMBL394993,,190.0,,,SR890,Small molecule,C19H19ClN4O2,370.84,SR-890,IN279,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL394993.png?bgColor=white
BDBM50208325,CHEMBL392609,,150.0,,,SR1457,Small molecule,C20H22ClN5O,383.88,SR-1457,IN280,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL392609.png?bgColor=white
BDBM50208333,CHEMBL442086,,5300.0,,,SR902,Small molecule,C21H23N5O,361.45,SR-902,IN281,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL442086.png?bgColor=white
BDBM50208330,CHEMBL240889,,470.0,,,SR1452,Small molecule,C21H25N5O,363.46,SR-1452,IN282,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL240889.png?bgColor=white
BDBM50208321,CHEMBL240867,,90.0,,,SR1362,Small molecule,C19H20BrN5O,414.31,SR-1362,IN283,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL240867.png?bgColor=white
BDBM50208326,CHEMBL238763,,830.0,,,SR1450,Small molecule,C20H23N5O,349.44,SR-1450,IN284,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL238763.png?bgColor=white
BDBM50208324,CHEMBL238762,,6000.0,,,SR1448,Small molecule,C15H21N5O,287.37,SR-1448,IN285,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL238762.png?bgColor=white
BDBM5544,CHEMBL319467,,600.0,,,NU6102,Small molecule,C18H22N6O3S,402.48,NU-6102,IN286,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL319467.png?bgColor=white
BDBM50436850,CHEMBL2403108,,1270.0,,,CERITINIB,Small molecule,C28H36ClN5O3S,558.15,"Ceritinib, NVP-LDK378-NX, Zykadia",IN287,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL2403108.png?bgColor=white
BDBM50262685,CHEMBL478629,,210.0,,,DORSOMORPHIN,Small molecule,C24H25N5O,399.5,Dorsomorphin,IN288,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL478629.png?bgColor=white
BDBM25017,CHEMBL573107,,18.0,,,BID1870,Small molecule,C19H23F2N5O2,391.42,BI-D1870,IN289,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL573107.png?bgColor=white
BDBM50024294,CHEMBL1725279,,,2200.0,,SP600125,Small molecule,C14H8N2O,220.23,SP-600125,IN290,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL1725279.png?bgColor=white
BDBM50314070,CHEMBL1090089,,,300.0,,PAMAPIMOD,Small molecule,C19H20F2N4O4,406.39,"R-1503, Pamapimod, Ro-4402257, JTT-705",IN291,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL1090089.png?bgColor=white
BDBM50343651,CHEMBL529177,,320.0,,,TCMDC124242,Small molecule,C14H14N4,238.29,TCMDC-124242,IN292,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL529177.png?bgColor=white
BDBM50151347,CHEMBL185238,,16000.0,,,GW786460X,Small molecule,C17H13N5,287.33,GW786460X,IN293,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL185238.png?bgColor=white
BDBM50168577,CHEMBL185962,,1.8,,,SB736302,Small molecule,C11H10N6O,242.24,SB-736302,IN294,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL185962.png?bgColor=white
BDBM50168582,CHEMBL188048,,126.0,,,SB736290,Small molecule,C9H8N6O,216.2,SB-736290,IN295,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL188048.png?bgColor=white
BDBM50168584,CHEMBL185710,,1540.0,,,SB738561,Small molecule,C10H10N6O,230.23,SB-738561,IN296,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL185710.png?bgColor=white
BDBM50168591,CHEMBL426800,,2120.0,,,GW785404X,Small molecule,C11H10FN5O,247.23,GW785404X,IN297,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL426800.png?bgColor=white
BDBM50168587,CHEMBL189231,,3.0,,,SB734117,Small molecule,C14H16N6O,284.32,SB-734117,IN298,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL189231.png?bgColor=white
BDBM50168852,CHEMBL191105,,617.0,,,SB751399,Small molecule,C13H17N7O,287.33,SB-751399,IN299,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL191105.png?bgColor=white
BDBM50168863,CHEMBL188240,,174.0,,,SB737198,Small molecule,C12H14N6O2,274.28,SB-737198,IN300,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL188240.png?bgColor=white
BDBM50168862,CHEMBL188268,,4.0,,,SB750140,Small molecule,C15H13N7O,307.32,SB-750140,IN301,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL188268.png?bgColor=white
BDBM50168865,CHEMBL365072,,229.0,,,SB751148,Small molecule,C12H14N6O,258.29,SB-751148,IN302,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL365072.png?bgColor=white
BDBM50168870,CHEMBL187985,,2240.0,,,SB744941,Small molecule,C14H17N7O,299.34,SB-744941,IN303,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL187985.png?bgColor=white
BDBM50296011,CHEMBL558642,,13.0,,,GSK650394,Small molecule,C25H22N2O2,382.46,GSK-650394,IN304,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL558642.png?bgColor=white
BDBM50298223,CHEMBL1240885,,2700.0,,,CGP57380,Small molecule,C11H9FN6,244.23,CGP-57380,IN305,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL1240885.png?bgColor=white
BDBM50307127,CHEMBL605003,,100.0,,,SU6656,Small molecule,C19H21N3O3S,371.46,SU-6656,IN306,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL605003.png?bgColor=white
BDBM50391730,CHEMBL258741,,79000.0,,,N-phenylpyrazole curcumin,Small molecule,C27H24N2O4,440.5,N-phenylpyrazole curcumin,IN307,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL258741.png?bgColor=white
BDBM14649,CHEMBL202930,,7.0,,,A432411,Small molecule,C20H16N2O3,332.36,A-432411,IN308,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL202930.png?bgColor=white
BDBM14823,CHEMBL468815,,15600.0,,,BAS00161987,Small molecule,C7H8N6OS,224.25,BAS-00161987,IN309,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL468815.png?bgColor=white
BDBM17054,CHEMBL1236539,5.6,,,,7-Hydroxystaurosporine,Small molecule,C28H26N4O4,482.54,7-Hydroxystaurosporine,IN310,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL1236539.png?bgColor=white
BDBM17140,CHEMBL304428,15.0,,,,SB218078,Small molecule,C24H15N3O3,393.4,SB-218078,IN311,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL304428.png?bgColor=white
BDBM50401614,CHEMBL2203843,,6.0,,,CCT244747,Small molecule,C20H24N8O2,408.47,CCT244747,IN312,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL2203843.png?bgColor=white
BDBM50216157,CHEMBL413188,,100.0,,,ISOGRANULATIMIDE,Small molecule,C15H8N4O2,276.26,Isogranulatimide,IN313,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL413188.png?bgColor=white
BDBM50192349,CHEMBL214253,,47.0,,,PD407824,Small molecule,C20H12N2O3,328.33,PD-407824,IN314,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL214253.png?bgColor=white
BDBM50389803,CHEMBL2041933,,,,280.0,AZD7762,Small molecule,C17H19FN4O2S,362.43,AZD-7762,IN315,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL2041933.png?bgColor=white
BDBM50136008,CHEMBL150894,,3000.0,,,CEP5214,Small molecule,C28H28N2O3,440.54,CEP-5214,IN316,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL150894.png?bgColor=white
BDBM50216165,CHEMBL240747,,80.0,,,GRANULATIMIDE,Small molecule,C15H8N4O2,276.26,Granulatimide,IN317,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL240747.png?bgColor=white
BDBM50309194,CHEMBL588536,,2300.0,,,TCMDC133349,Small molecule,C20H19N3O3,349.39,TCMDC-133349,IN318,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL588536.png?bgColor=white
BDBM50008923,CHEMBL65,,,,2.1,CAMPTOTHECIN,Small molecule,C20H16N2O4,348.36,NSC-94600,IN319,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL65.png?bgColor=white
BDBM50434372,CHEMBL2386889,,3.0,,,SCH900776,Small molecule,C15H18BrN7,376.26,"MK-8776, SCH-900776",IN320,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL2386889.png?bgColor=white
BDBM50379186,CHEMBL2010872,,140.0,,,CEP11981,Small molecule,C28H27N7O,477.57,CEP-11981,IN321,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL2010872.png?bgColor=white
BDBM50426474,CHEMBL1980391,,24.0,,,RG1530,Small molecule,C18H14ClFN4O,356.79,"RG-1530, R-1530",IN322,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL1980391.png?bgColor=white
BDBM7459,CHEMBL151,,21000.0,,,LUTEOLIN,Small molecule,C15H10O6,286.24,"Luteolol, Flacitran, Luteoline, Digitoflavone, Luteolin",IN323,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL151.png?bgColor=white
BDBM7458,CHEMBL28,,31000.0,,,APIGENIN,Small molecule,C15H10O5,270.24,NSC-83244,IN324,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL28.png?bgColor=white
BDBM7461,CHEMBL117,,300000.0,,,CHRYSIN,Small molecule,C15H10O4,254.24,NSC-407436,IN325,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL117.png?bgColor=white
BDBM15236,CHEMBL164,,23000.0,,,MYRICETIN,Small molecule,C15H10O8,318.24,NSC-407290,IN326,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL164.png?bgColor=white
BDBM7462,CHEMBL150,,10000.0,,,KAEMPFEROL,Small molecule,C15H10O6,286.24,"Rhamnolutein, Robigenin, Populnetin, Kaempferol, Kempferol, Trifolitin, Pelargidenolon, Swartziol, Rhamnolutin",IN327,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL150.png?bgColor=white
BDBM26658,CHEMBL28626,,1600.0,,,MORIN,Small molecule,C15H10O7,302.24,NSC-19801,IN328,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL28626.png?bgColor=white
BDBM26655,CHEMBL253570,,87000.0,,,GOSSYPETIN,Small molecule,C15H10O8,318.24,"Gossypetin, Articulatidin, Equisporol",IN329,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL253570.png?bgColor=white
BDBM50121994,CHEMBL1197905,,220000.0,,,PELARGONIDIN,Small molecule,C15H11O5+,271.25,Pelargonidin,IN330,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL1197905.png?bgColor=white
BDBM50095997,CHEMBL13486,,280000.0,,,7-Trihydroxyisoflavone,Small molecule,C15H10O5,270.24,"3',4',7-Trihydroxyisoflavone, 7,3',4'-Trihydroxyisoflavone",IN331,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL13486.png?bgColor=white
BDBM23416,CHEMBL311498,,300000.0,,,CIANIDANOL,Small molecule,C15H14O6,290.27,"Cianidanol, Cianidol",IN332,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL311498.png?bgColor=white
BDBM50153015,CHEMBL36327,,300000.0,,,EPICATECHIN GALLATE,Small molecule,C22H18O10,442.38,"Epicatechin Gallate, (-)-Epicatechin Gallate",IN333,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL36327.png?bgColor=white
BDBM50580,CHEMBL490355,,13150.0,,,SULFURETIN,Small molecule,C15H10O5,270.24,Sulfuretin,IN334,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL490355.png?bgColor=white
BDBM50335638,CHEMBL1230165,,17.0,,,SILMITASERTIB,Small molecule,C19H12ClN3O2,349.78,"CX-4945, Silmitasertib",IN335,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL1230165.png?bgColor=white
BDBM50242186,CHEMBL454582,,20000.0,,,(+)-Makassaric Acid,Small molecule,C27H38O3,410.6,(+)-Makassaric Acid,IN336,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL454582.png?bgColor=white
BDBM50242189,CHEMBL455101,,9600.0,,,(+)-Subersic Acid,Small molecule,C27H38O3,410.6,(+)-Subersic Acid,IN337,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL455101.png?bgColor=white
BDBM50241927,CHEMBL487191,,130000.0,,,PHAEOCHROMYCIN C,Small molecule,C18H16O5,312.32,Phaeochromycin C,IN338,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL487191.png?bgColor=white
BDBM50175196,CHEMBL197603,,25000.0,,,A770041,Small molecule,C34H39N9O3,621.75,A-770041,IN339,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL197603.png?bgColor=white
BDBM50240538,CHEMBL57481,,85000.0,,,Isoquinolin-5-ol,Small molecule,C9H7NO,145.16,Isoquinolin-5-ol,IN340,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL57481.png?bgColor=white
BDBM23450,CHEMBL122617,,100000.0,,,1-NAPHTHOL,Small molecule,C10H8O,144.17,"1-Naphthol, Naphthalen-1-ol, Naphthol",IN341,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL122617.png?bgColor=white
BDBM50119286,CHEMBL319170,,1090.0,,,PD146626,Small molecule,C12H11NO2S2,265.36,PD-146626,IN342,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL319170.png?bgColor=white
BDBM50323630,CHEMBL549224,,5200.0,,,TCMDC123917,Small molecule,C26H26N4,394.52,TCMDC-123917,IN343,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL549224.png?bgColor=white
BDBM50196110,CHEMBL217665,,200000.0,,,GNFPf2857,Small molecule,C20H22N4,318.42,GNF-Pf-2857,IN344,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL217665.png?bgColor=white
BDBM50366480,CHEMBL14249,,2800.0,,,ADENOSINE TRIPHOSPHATE,Small molecule,C10H16N5O13P3,507.18,Adenosine triphosphate,IN345,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL14249.png?bgColor=white
BDBM4815,CHEMBL13485,,760.0,,,SU11652,Small molecule,C22H27ClN4O2,414.94,SU-11652,IN346,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL13485.png?bgColor=white
BDBM3032,CHEMBL29197,,630.0,,,PD153035,Small molecule,C16H14BrN3O2,360.21,PD-153035,IN347,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL29197.png?bgColor=white
BDBM50326421,CHEMBL421942,,120.0,,,WHIP97,Small molecule,C16H13Br2N3O3,455.11,WHI-P97,IN348,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL421942.png?bgColor=white
BDBM3603,CHEMBL53753,,1700.0,,,PD158780,Small molecule,C14H12BrN5,330.19,PD-158780,IN349,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL53753.png?bgColor=white
BDBM30639,CHEMBL1256708,,25.0,,,APOMORPHINE HYDROCHLORIDE HEMIHYDRATE,Small molecule,C17H20ClNO3,321.8,Apomorphine Hydrochloride Hemihydrate,IN350,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL1256708.png?bgColor=white
BDBM32187,CHEMBL1200596,,12.0,,,CHLOROXINE,Small molecule,C9H5Cl2NO,214.05,"Chloroxine, Capitrol",IN351,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL1200596.png?bgColor=white
BDBM50118955,CHEMBL94678,,25.0,,,K-252A(Epi),Small molecule,C27H21N3O5,467.48,K-252A(Epi),IN352,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL94678.png?bgColor=white
BDBM50045936,CHEMBL69863,,12000.0,,,PICEATANNOL,Small molecule,C14H12O4,244.25,NSC-365798,IN353,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL69863.png?bgColor=white
BDBM15234,CHEMBL428496,,170.0,,,WORTMANNIN,Small molecule,C23H24O8,428.44,Wortmannin,IN354,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL428496.png?bgColor=white
BDBM50101817,CHEMBL193,,2020.0,,,NIFEDIPINE,Small molecule,C17H18N2O6,346.34,"Nifedipine, BAY-A-1040, Calanif, Angiopine MR 20, Angiopine 5, Angiopine MR 10, Nifelease, Adalat Ret, Nifensar Xl, Coroday MR, Kentipine MR 10, Nifopress Ret, Tensipine MR 10, Angiopine 10, Adalat IC, Adalate LP, Hypolar Ret 10, Nife-Wolff, Nifedipress MR 20, Adalat, Coracten SR, Hypolar XL 30, Angiopine 40 LA, Slofedipine XL 60, Kentipine MR 20, Adipine MR 20, Adipine XL, Kentipine, Adanif XL, Neozipine XL, Coracten XL, Procardia, Adalat LA 60, Adalat LA 20, Genalat 10 Ret, Nifedipine, Hypolar Ret 20, Adalat A.R., Nifedotard 20 MR, Adalat LA 30, Fortipine LA40, Adalat Cc, Nifopress MR, Genalat 20 Ret, Adipine MR 10, Tensipine MR 20, Valni 20 Ret, Cardilate MR, Calchan MR 10, Valni XL, Nivaten Ret, Calchan MR 20, Nimodrel MR 10, Nimodrel XL, Calcilat, Nimodrel MR 20, Vasad, Procardia Xl, Afeditab Cr, Nifedipress MR 10, Slofedipine XL 30, Unipine XL",IN355,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL193.png?bgColor=white
BDBM50216680,CHEMBL143054,150000.0,,,,H1004,Small molecule,C12H15N5O2S,293.35,H-1004,IN356,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL143054.png?bgColor=white
BDBM50396534,CHEMBL2171124,,701.0,,,GSK2606414,Small molecule,C24H20F3N5O,451.45,GSK2606414,IN357,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL2171124.png?bgColor=white
BDBM6309,CHEMBL189963,,5000.0,,,PALBOCICLIB,Small molecule,C24H29N7O2,447.54,"PD-0332991, Palbociclib, Ibrance",IN358,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL189963.png?bgColor=white
BDBM12915,CHEMBL98350,,4000.0,,,LY294002,Small molecule,C19H17NO3,307.35,LY-294002,IN359,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL98350.png?bgColor=white
BDBM23408,CHEMBL413552,,340.0,,,QUERCETAGETIN,Small molecule,C15H10O8,318.24,Quercetagetin,IN360,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL413552.png?bgColor=white
BDBM26656,CHEMBL247484,,650.0,,,TRICETIN,Small molecule,C15H10O7,302.24,"5,7,3',4',5'-Pentahydroxyflavone, Tricetin, Tricetinidin",IN361,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL247484.png?bgColor=white
BDBM7457,CHEMBL31574,,850.0,,,FISETIN,Small molecule,C15H10O6,286.24,NSC-407010,IN362,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL31574.png?bgColor=white
BDBM26657,CHEMBL242383,,980.0,,,RESOKAEMPFEROL,Small molecule,C15H10O5,270.24,"4',7-Dihydroxyflavonol, Resokaempferol",IN363,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL242383.png?bgColor=white
BDBM26659,CHEMBL253786,,4520.0,,,"3',7-Dihydroxyflavone",Small molecule,C15H10O4,254.24,"7,3'-Dihydroxy Flavone, 7,3'-Dihydroxyflavone",IN364,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL253786.png?bgColor=white
BDBM26660,CHEMBL210276,,4600.0,,,"3,7-DIHYDROXYFLAVONE",Small molecule,C15H10O4,254.24,"7-Hydroxyflavonol, 3,7-Dihydroxy-Flavone, 3,7-Dihydroxyflavone",IN365,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL210276.png?bgColor=white
BDBM26661,CHEMBL398328,,7800.0,,,"7,3',4',5'-Tetrahydroxyflavone",Small molecule,C15H10O6,286.24,,IN366,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL398328.png?bgColor=white
BDBM26662,CHEMBL400890,,8300.0,,,"3,6,2',4'-Tetrahydroxyflavone",Small molecule,C15H10O6,286.24,,IN367,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL400890.png?bgColor=white
BDBM26663,CHEMBL253998,,12500.0,,,GLABRANIN,Small molecule,C20H20O4,324.38,Glabranin,IN368,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL253998.png?bgColor=white
BDBM26664,CHEMBL276915,,14000.0,,,7-HYDROXYFLAVONE,Small molecule,C15H10O3,238.24,NSC-94258,IN369,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL276915.png?bgColor=white
BDBM26665,CHEMBL420982,,22000.0,,,"7,8,4'-Trihydroxy Flavone",Small molecule,C15H10O5,270.24,,IN370,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL420982.png?bgColor=white
BDBM26667,CHEMBL399910,,107000.0,,,PINOCEMBRIN,Small molecule,C15H12O4,256.26,"(2S)-Pinocembrin, NSC-43318",IN371,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL399910.png?bgColor=white
