chEMBL_ID,Molecule_name,Molecule_type,Molecular_formula,Molecular_weight,Synonyms
CHEMBL241271,SR715,Small molecule,C20H21BrN4O2,429.32,SR-715
CHEMBL240646,SR1357,Small molecule,C20H23N5O,349.44,SR-1357
CHEMBL239772,SR887,Small molecule,C19H19ClN4O2,370.84,SR-887
CHEMBL241270,SR710,Small molecule,C20H21ClN4O2,384.87,SR-710
CHEMBL240645,SR1353,Small molecule,C19H20ClN5O,369.86,SR-1353
CHEMBL239149,SR897,Small molecule,C19H20N4O2,336.39,SR-897
CHEMBL392064,SR709,Small molecule,C20H21ClN4O2,384.87,SR-709
CHEMBL394438,SR1351,Small molecule,C19H20ClN5O,369.86,SR-1351
CHEMBL238945,SR895,Small molecule,C16H22N4O2,302.38,SR-895
CHEMBL241064,SR706,Small molecule,C20H22N4O2,350.42,SR-706
CHEMBL391189,SR1349,Small molecule,C19H21N5O,335.41,SR-1349
CHEMBL395942,SR705,Small molecule,C15H20N4O2,288.35,SR-705
CHEMBL239816,SR1459,Small molecule,C20H22BrN5O,428.33,SR-1459
CHEMBL394993,SR890,Small molecule,C19H19ClN4O2,370.84,SR-890
CHEMBL392609,SR1457,Small molecule,C20H22ClN5O,383.88,SR-1457
CHEMBL442086,SR902,Small molecule,C21H23N5O,361.45,SR-902
CHEMBL240889,SR1452,Small molecule,C21H25N5O,363.46,SR-1452
CHEMBL240867,SR1362,Small molecule,C19H20BrN5O,414.31,SR-1362
CHEMBL238763,SR1450,Small molecule,C20H23N5O,349.44,SR-1450
CHEMBL238762,SR1448,Small molecule,C15H21N5O,287.37,SR-1448
CHEMBL319467,NU6102,Small molecule,C18H22N6O3S,402.48,NU-6102
CHEMBL2403108,CERITINIB,Small molecule,C28H36ClN5O3S,558.15,"Ceritinib, NVP-LDK378-NX, Zykadia"
CHEMBL478629,DORSOMORPHIN,Small molecule,C24H25N5O,399.5,Dorsomorphin
CHEMBL573107,BID1870,Small molecule,C19H23F2N5O2,391.42,BI-D1870
CHEMBL1725279,SP600125,Small molecule,C14H8N2O,220.23,SP-600125
CHEMBL1090089,PAMAPIMOD,Small molecule,C19H20F2N4O4,406.39,"R-1503, Pamapimod, Ro-4402257, JTT-705"
CHEMBL529177,TCMDC124242,Small molecule,C14H14N4,238.29,TCMDC-124242
CHEMBL185238,GW786460X,Small molecule,C17H13N5,287.33,GW786460X
CHEMBL185962,SB736302,Small molecule,C11H10N6O,242.24,SB-736302
CHEMBL188048,SB736290,Small molecule,C9H8N6O,216.2,SB-736290
CHEMBL185710,SB738561,Small molecule,C10H10N6O,230.23,SB-738561
CHEMBL426800,GW785404X,Small molecule,C11H10FN5O,247.23,GW785404X
CHEMBL189231,SB734117,Small molecule,C14H16N6O,284.32,SB-734117
CHEMBL191105,SB751399,Small molecule,C13H17N7O,287.33,SB-751399
CHEMBL188240,SB737198,Small molecule,C12H14N6O2,274.28,SB-737198
CHEMBL188268,SB750140,Small molecule,C15H13N7O,307.32,SB-750140
CHEMBL365072,SB751148,Small molecule,C12H14N6O,258.29,SB-751148
CHEMBL187985,SB744941,Small molecule,C14H17N7O,299.34,SB-744941
CHEMBL558642,GSK650394,Small molecule,C25H22N2O2,382.46,GSK-650394
CHEMBL1240885,CGP57380,Small molecule,C11H9FN6,244.23,CGP-57380
CHEMBL605003,SU6656,Small molecule,C19H21N3O3S,371.46,SU-6656
CHEMBL258741,N-phenylpyrazole curcumin,Small molecule,C27H24N2O4,440.5,N-phenylpyrazole curcumin
CHEMBL202930,A432411,Small molecule,C20H16N2O3,332.36,A-432411
CHEMBL468815,BAS00161987,Small molecule,C7H8N6OS,224.25,BAS-00161987
CHEMBL1236539,7-Hydroxystaurosporine,Small molecule,C28H26N4O4,482.54,7-Hydroxystaurosporine
CHEMBL304428,SB218078,Small molecule,C24H15N3O3,393.4,SB-218078
CHEMBL2203843,CCT244747,Small molecule,C20H24N8O2,408.47,CCT244747
CHEMBL413188,ISOGRANULATIMIDE,Small molecule,C15H8N4O2,276.26,Isogranulatimide
CHEMBL214253,PD407824,Small molecule,C20H12N2O3,328.33,PD-407824
CHEMBL2041933,AZD7762,Small molecule,C17H19FN4O2S,362.43,AZD-7762
CHEMBL150894,CEP5214,Small molecule,C28H28N2O3,440.54,CEP-5214
CHEMBL240747,GRANULATIMIDE,Small molecule,C15H8N4O2,276.26,Granulatimide
CHEMBL588536,TCMDC133349,Small molecule,C20H19N3O3,349.39,TCMDC-133349
CHEMBL65,CAMPTOTHECIN,Small molecule,C20H16N2O4,348.36,NSC-94600
CHEMBL2386889,SCH900776,Small molecule,C15H18BrN7,376.26,"MK-8776, SCH-900776"
CHEMBL2010872,CEP11981,Small molecule,C28H27N7O,477.57,CEP-11981
CHEMBL1980391,RG1530,Small molecule,C18H14ClFN4O,356.79,"RG-1530, R-1530"
CHEMBL151,LUTEOLIN,Small molecule,C15H10O6,286.24,"Luteolol, Flacitran, Luteoline, Digitoflavone, Luteolin"
CHEMBL28,APIGENIN,Small molecule,C15H10O5,270.24,NSC-83244
CHEMBL117,CHRYSIN,Small molecule,C15H10O4,254.24,NSC-407436
CHEMBL164,MYRICETIN,Small molecule,C15H10O8,318.24,NSC-407290
CHEMBL150,KAEMPFEROL,Small molecule,C15H10O6,286.24,"Rhamnolutein, Robigenin, Populnetin, Kaempferol, Kempferol, Trifolitin, Pelargidenolon, Swartziol, Rhamnolutin"
CHEMBL28626,MORIN,Small molecule,C15H10O7,302.24,NSC-19801
CHEMBL253570,GOSSYPETIN,Small molecule,C15H10O8,318.24,"Gossypetin, Articulatidin, Equisporol"
CHEMBL1197905,PELARGONIDIN,Small molecule,C15H11O5+,271.25,Pelargonidin
CHEMBL13486,7-Trihydroxyisoflavone,Small molecule,C15H10O5,270.24,"3',4',7-Trihydroxyisoflavone, 7,3',4'-Trihydroxyisoflavone"
CHEMBL311498,CIANIDANOL,Small molecule,C15H14O6,290.27,"Cianidanol, Cianidol"
CHEMBL36327,EPICATECHIN GALLATE,Small molecule,C22H18O10,442.38,"Epicatechin Gallate, (-)-Epicatechin Gallate"
CHEMBL490355,SULFURETIN,Small molecule,C15H10O5,270.24,Sulfuretin
CHEMBL1230165,SILMITASERTIB,Small molecule,C19H12ClN3O2,349.78,"CX-4945, Silmitasertib"
CHEMBL454582,(+)-Makassaric Acid,Small molecule,C27H38O3,410.6,(+)-Makassaric Acid
CHEMBL455101,(+)-Subersic Acid,Small molecule,C27H38O3,410.6,(+)-Subersic Acid
CHEMBL487191,PHAEOCHROMYCIN C,Small molecule,C18H16O5,312.32,Phaeochromycin C
CHEMBL197603,A770041,Small molecule,C34H39N9O3,621.75,A-770041
CHEMBL57481,Isoquinolin-5-ol,Small molecule,C9H7NO,145.16,Isoquinolin-5-ol
CHEMBL122617,1-NAPHTHOL,Small molecule,C10H8O,144.17,"1-Naphthol, Naphthalen-1-ol, Naphthol"
CHEMBL319170,PD146626,Small molecule,C12H11NO2S2,265.36,PD-146626
CHEMBL549224,TCMDC123917,Small molecule,C26H26N4,394.52,TCMDC-123917
CHEMBL217665,GNFPf2857,Small molecule,C20H22N4,318.42,GNF-Pf-2857
CHEMBL14249,ADENOSINE TRIPHOSPHATE,Small molecule,C10H16N5O13P3,507.18,Adenosine triphosphate
CHEMBL13485,SU11652,Small molecule,C22H27ClN4O2,414.94,SU-11652
CHEMBL29197,PD153035,Small molecule,C16H14BrN3O2,360.21,PD-153035
CHEMBL421942,WHIP97,Small molecule,C16H13Br2N3O3,455.11,WHI-P97
CHEMBL53753,PD158780,Small molecule,C14H12BrN5,330.19,PD-158780
CHEMBL1256708,APOMORPHINE HYDROCHLORIDE HEMIHYDRATE,Small molecule,C17H20ClNO3,321.8,Apomorphine Hydrochloride Hemihydrate
CHEMBL1200596,CHLOROXINE,Small molecule,C9H5Cl2NO,214.05,"Chloroxine, Capitrol"
CHEMBL94678,K-252A(Epi),Small molecule,C27H21N3O5,467.48,K-252A(Epi)
CHEMBL69863,PICEATANNOL,Small molecule,C14H12O4,244.25,NSC-365798
CHEMBL428496,WORTMANNIN,Small molecule,C23H24O8,428.44,Wortmannin
CHEMBL193,NIFEDIPINE,Small molecule,C17H18N2O6,346.34,"Nifedipine, BAY-A-1040, Calanif, Angiopine MR 20, Angiopine 5, Angiopine MR 10, Nifelease, Adalat Ret, Nifensar Xl, Coroday MR, Kentipine MR 10, Nifopress Ret, Tensipine MR 10, Angiopine 10, Adalat IC, Adalate LP, Hypolar Ret 10, Nife-Wolff, Nifedipress MR 20, Adalat, Coracten SR, Hypolar XL 30, Angiopine 40 LA, Slofedipine XL 60, Kentipine MR 20, Adipine MR 20, Adipine XL, Kentipine, Adanif XL, Neozipine XL, Coracten XL, Procardia, Adalat LA 60, Adalat LA 20, Genalat 10 Ret, Nifedipine, Hypolar Ret 20, Adalat A.R., Nifedotard 20 MR, Adalat LA 30, Fortipine LA40, Adalat Cc, Nifopress MR, Genalat 20 Ret, Adipine MR 10, Tensipine MR 20, Valni 20 Ret, Cardilate MR, Calchan MR 10, Valni XL, Nivaten Ret, Calchan MR 20, Nimodrel MR 10, Nimodrel XL, Calcilat, Nimodrel MR 20, Vasad, Procardia Xl, Afeditab Cr, Nifedipress MR 10, Slofedipine XL 30, Unipine XL"
CHEMBL143054,H1004,Small molecule,C12H15N5O2S,293.35,H-1004
CHEMBL2171124,GSK2606414,Small molecule,C24H20F3N5O,451.45,GSK2606414
CHEMBL189963,PALBOCICLIB,Small molecule,C24H29N7O2,447.54,"PD-0332991, Palbociclib, Ibrance"
CHEMBL98350,LY294002,Small molecule,C19H17NO3,307.35,LY-294002
CHEMBL413552,QUERCETAGETIN,Small molecule,C15H10O8,318.24,Quercetagetin
CHEMBL247484,TRICETIN,Small molecule,C15H10O7,302.24,"5,7,3',4',5'-Pentahydroxyflavone, Tricetin, Tricetinidin"
CHEMBL31574,FISETIN,Small molecule,C15H10O6,286.24,NSC-407010
CHEMBL242383,RESOKAEMPFEROL,Small molecule,C15H10O5,270.24,"4',7-Dihydroxyflavonol, Resokaempferol"
CHEMBL253786,"3',7-Dihydroxyflavone",Small molecule,C15H10O4,254.24,"7,3'-Dihydroxy Flavone, 7,3'-Dihydroxyflavone"
CHEMBL210276,"3,7-DIHYDROXYFLAVONE",Small molecule,C15H10O4,254.24,"7-Hydroxyflavonol, 3,7-Dihydroxy-Flavone, 3,7-Dihydroxyflavone"
CHEMBL398328,"7,3',4',5'-Tetrahydroxyflavone",Small molecule,C15H10O6,286.24,N/A
CHEMBL400890,"3,6,2',4'-Tetrahydroxyflavone",Small molecule,C15H10O6,286.24,N/A
CHEMBL253998,GLABRANIN,Small molecule,C20H20O4,324.38,Glabranin
CHEMBL276915,7-HYDROXYFLAVONE,Small molecule,C15H10O3,238.24,NSC-94258
CHEMBL420982,"7,8,4'-Trihydroxy Flavone",Small molecule,C15H10O5,270.24,N/A
CHEMBL399910,PINOCEMBRIN,Small molecule,C15H12O4,256.26,"(2S)-Pinocembrin, NSC-43318"
CHEMBL1952329,SGI1776,Small molecule,C20H22F3N5O,405.42,SGI-1776
CHEMBL293776,HISPIDULIN,Small molecule,C16H12O6,300.27,"NSC-122415, TCMDC-123942"
CHEMBL86771,"1,4-Diamino-Anthraquinone",Small molecule,C14H10N2O2,238.25,"1,4-Diamino-Anthraquinone"
CHEMBL430853,RAMENTACEONE,Small molecule,C11H8O3,188.18,"7-Methyljuglone, Ramentaceone"
CHEMBL289277,EMODIN,Small molecule,C15H10O5,270.24,Emodin
CHEMBL107,COLCHICINE,Small molecule,C22H25NO6,399.44,"Colchicine, Mitigare, Colcrys, Colchicine"
CHEMBL476454,BAS1059623,Small molecule,C26H28ClN3O,433.98,BAS-1059623
CHEMBL1794051,GW5074,Small molecule,C15H10Br2INO2,522.96,GW5074
CHEMBL79004,PS1145,Small molecule,C17H11ClN4O,322.75,PS-1145
CHEMBL58,MITOXANTRONE,Small molecule,C22H28N4O6,444.49,"Novantrone, Mitoxantrone, Novantrone, Mitoxantrone HCl"
CHEMBL945,AMILORIDE,Small molecule,C6H8ClN7O,229.63,"Hydro-Ride, Midamor, Amiloride"
CHEMBL387748,IN1166,Small molecule,C25H19N7,417.48,IN-1166
CHEMBL1090479,GSK1070916,Small molecule,C30H33N7O,507.64,GSK1070916
CHEMBL285063,PD168393,Small molecule,C17H13BrN4O,369.22,PD-168393
CHEMBL1276127,INDIRUBIN,Small molecule,C16H10N2O2,262.27,Indirubin
CHEMBL596482,"3',4'-Dimethoxy-Aurone",Small molecule,C17H14O4,282.3,N/A
CHEMBL512649,"2,4,5,10-Tetrahydropyrazolo[3,4-A]Carbazole",Small molecule,C13H11N3,209.25,"2,4,5,10-Tetrahydropyrazolo[3,4-A]Carbazole"
CHEMBL587836,GNFPf2005,Small molecule,C20H21BrN4O2,429.32,GNF-Pf-2005
CHEMBL1303948,DNDI1417195,Small molecule,C16H14N2O4,298.3,DNDI1417195
CHEMBL414890,PROTOAPIGENONE,Small molecule,C15H10O6,286.24,Protoapigenone
CHEMBL173530,STICTIC ACID,Small molecule,C19H14O9,386.31,NSC-87511
CHEMBL463563,ISOTHYMONIN,Small molecule,C18H16O8,360.32,Isothymonin
CHEMBL578061,GNFPf2301,Small molecule,C16H14N4,262.32,GNF-Pf-2301
CHEMBL531296,TCMDC123600,Small molecule,C21H23BrN4O2,443.35,TCMDC-123600
CHEMBL172350,EUPAFOLIN,Small molecule,C16H12O7,316.26,"6-Methoxy 5,7,3',4'-Tetrahydroxyflavone, 6-Methoxyluteolin, Eupafolin, Pedaltin"
CHEMBL196814,HTS05056,Small molecule,C14H13N3O,239.28,HTS-05056
CHEMBL300389,CGP60474,Small molecule,C18H18ClN5O,355.83,"CGP-60474, GNF-Pf-88"
CHEMBL45068,PHLORETIN,Small molecule,C15H14O5,274.27,"2',4,4',6'-Tetrahydroxy-Dihydrochalcone, 2',4,4',6'-Tetrahydroxydihydrochalcone, Phloretin"
CHEMBL56393,AG538,Small molecule,C16H11NO5,297.27,AG-538
CHEMBL1195210,ALEXIDINE,Small molecule,C26H56N10,508.8,"WIN-21904, Compound 904, Alexidine"
CHEMBL43065,OXYRESVERATROL,Small molecule,C14H12O4,244.25,"Oxyresveratrol, Trans-2,4,3',5'-Tetrahydroxystilbene"
CHEMBL233929,GALUTEOLIN,Small molecule,C21H20O11,448.38,"Luteolin-7-Glucoside, Glucoluteolin, Luteolin 7-Glucoside, Galuteolin, Luteolin 7-O-Glucoside"
CHEMBL585,TRIAMTERENE,Small molecule,C12H11N7,253.27,"SK-8542, Triamterene, SK&amp, F-8542, Dyrenium, Dytac"
CHEMBL576349,IC261,Small molecule,C18H17NO4,311.34,IC261
CHEMBL17594,QUINIZARIN,Small molecule,C14H8O4,240.21,"1,4-Dihydroxy-Anthraquinone, Quinizarin, 1,4 Dihydroxy-Anthraquinone, 1,4-Dihydroxyanthraquinone"
CHEMBL1405979,2-Phenylacetylaminobenzothiazole,Small molecule,C15H12N2OS,268.34,2-Phenylacetylaminobenzothiazole
CHEMBL2069623,PF4800567,Small molecule,C17H18ClN5O2,359.82,PF-4800567
CHEMBL1951415,PF670462,Small molecule,C19H20FN5,337.4,PF-670462
CHEMBL406845,AG1879,Small molecule,C15H16ClN5,301.78,AG-1879
CHEMBL50894,ALSTERPAULLONE,Small molecule,C16H11N3O3,293.28,Alsterpaullone
CHEMBL260138,ALSTERPAULLONE 2,Small molecule,C19H14N4O3,346.35,2-Cyanoethyl Alsterpaullone
CHEMBL3545110,RIBOCICLIB,Small molecule,C23H30N8O,434.55,"LEE-011, NVP-LEE011, Ribociclib"
CHEMBL126077,INDIRUBIN-3-MONOXIME,Small molecule,C16H11N3O2,277.28,"Indirubin-3'-Monooxime, Indirubin-3'-Oxime, Indirubin-3-Monoxime, Indirubin-3-Oxime, Indirubin-3Monoxime"
CHEMBL120077,JNJ10198409,Small molecule,C18H16FN3O2,325.34,JNJ-10198409
CHEMBL89618,D20317,Small molecule,C24H50NO4P,447.64,D-20317
CHEMBL228862,6-BENZYLAMINOPURINE,Small molecule,C12H11N5,225.25,Benzyl Aminopurine
CHEMBL280074,OLOMOUCINE,Small molecule,C15H18N6O,298.35,"Olomoucine, Olomucine"
CHEMBL226345,ADENINE,Small molecule,C5H5N5,135.13,Adenine
CHEMBL452220,ATOLAPHYLLIDINE,Small molecule,C18H15NO4,309.32,Atolaphyllidine
CHEMBL1243004,"Dimethyl 6,6'-Sulfonylbis(3-Acetamidobenzoate)",Small molecule,C20H20N2O8S,448.45,N/A
CHEMBL1240761,"2-Hydroxyethyl 3,4-Dichlorophenylcarbamodithioate",Small molecule,C9H9Cl2NOS2,282.22,"2-Hydroxyethyl 3,4-Dichlorophenylcarbamodithioate"
CHEMBL79049,CGP60747,Small molecule,C17H14F3N3O2,349.31,CGP-60747
CHEMBL1242367,CGP082996,Small molecule,C27H32N6O,456.59,CGP-082996
CHEMBL296586,KENPAULLONE,Small molecule,C16H11BrN2O,327.18,Kenpaullone
CHEMBL299756,PAULLONE 2,Small molecule,C17H11N3O,273.3,Paullone 2
CHEMBL418203,(+/-)-Flavopiridol,Small molecule,C21H20ClNO5,401.85,(+/-)-Flavopiridol
CHEMBL430574,PAULLONE,Small molecule,C16H12N2O,248.29,Paullone
CHEMBL169757,CGP62464,Small molecule,C18H14N4,286.34,CGP-62464
CHEMBL373834,7-Bromoindirubin-3'Oxime,Small molecule,C16H10BrN3O2,356.18,N/A
CHEMBL478797,MICROXINE,Small molecule,C8H11N5O4S,273.27,Microxine
CHEMBL30432,GW282974X,Small molecule,C23H21N7,395.47,"GW282974X, GW2974"
CHEMBL303958,NU6027,Small molecule,C11H17N5O2,251.29,NU-6027
CHEMBL153843,AAL993,Small molecule,C20H16F3N3O,371.36,AAL-993
CHEMBL276711,SEMAXANIB,Small molecule,C15H14N2O,238.29,"Semaxinib, Semaxanib, SU-5416"
CHEMBL202721,TCMDC125873,Small molecule,C29H31N5O4,513.6,"TCMDC-125873, ZM-447439"
CHEMBL270054,GW280670X,Small molecule,C14H11ClN4O3S,350.79,GW280670X
CHEMBL269827,GW276655X,Small molecule,C17H13N5O4S,383.39,GW276655X
CHEMBL270544,GW396574X,Small molecule,C18H18N4O3S,370.43,GW396574X
CHEMBL272026,GW290597X,Small molecule,C21H21N7O4S,467.51,GW290597X
CHEMBL272028,GW300660X,Small molecule,C20H19N7O4S,453.48,GW300660X
CHEMBL410072,GW301784X,Small molecule,C20H23N5O5S,445.5,GW301784X
CHEMBL271594,GW300653X,Small molecule,C17H18N4O3S,358.42,GW300653X
CHEMBL271843,GW275944X,Small molecule,C15H14N4O3S,330.37,GW275944X
CHEMBL272165,GW300657X,Small molecule,C21H18N6O4S,450.48,GW300657X
CHEMBL485818,BAICALIN,Small molecule,C21H18O11,446.36,Baicalin
CHEMBL517516,BAICALIN METHYLATE,Small molecule,C22H20O11,460.39,Baicalin Methylate
CHEMBL388956,ARISTOLACTAM AIIIA,Small molecule,C16H11NO4,281.27,SCH-546909
CHEMBL609040,SCH535270,Small molecule,C16H9NO4,279.25,SCH-535270
CHEMBL514554,PF228,Small molecule,C22H20F3N5O3S,491.5,PF-228
CHEMBL287508,MR22388,Small molecule,C16H11NO3S,297.34,MR-22388
CHEMBL488436,AZD5438,Small molecule,C18H21N5O2S,371.47,AZD-5438
CHEMBL2103840,DINACICLIB,Small molecule,C21H28N6O2,396.5,"MK-7965, SCH-727965, Dinaciclib"
CHEMBL1944698,TG02,Small molecule,C23H24N4O,372.47,"TG02, SB-1317, TG-02"
CHEMBL602937,FASCAPLYSIN,Small molecule,C18H11N2O+,271.3,Fascaplysin
CHEMBL1089405,AP23464,Small molecule,C26H30N5O2P,475.53,AP-23464
CHEMBL234338,"5,6,7,8,4'-Pentahydroxyflavone",Small molecule,C15H10O7,302.24,N/A
CHEMBL418068,RHEIN,Small molecule,C15H8O6,284.22,Rhein
CHEMBL269881,NU2058,Small molecule,C12H17N5O,247.3,NU-2058
CHEMBL122701,"3',4'-Dihydroxyflavonol",Small molecule,C15H10O5,270.24,"3,3',4'-Trihydroxyflavone"
CHEMBL222541,"7,8,3',4'-Tetrahydroxyflavone",Small molecule,C15H10O6,286.24,N/A
CHEMBL222556,"3',4'-Dihydroxy Flavone",Small molecule,C15H10O4,254.24,"3',4'-Dihydroxyflavone"
CHEMBL260417,SB725317,Small molecule,C16H13BrN4O2,373.21,SB-725317
CHEMBL408564,SB739452,Small molecule,C14H11BrN4O2,347.17,SB-739452
CHEMBL101804,SB743899,Small molecule,C14H12N4O2,268.28,SB-743899
CHEMBL407113,SB741905,Small molecule,C17H16N4O3S,356.41,SB-741905
CHEMBL405021,SB732941,Small molecule,C17H15N3O,277.33,SB-732941
CHEMBL191144,PHA533533,Small molecule,C19H22N4O2,338.41,PHA-533533
CHEMBL14619,SQ67563,Small molecule,C17H17N3O2,295.34,SQ-67563
CHEMBL340813,NU6086,Small molecule,C18H21N5O2,339.4,NU-6086
CHEMBL122264,NU6094,Small molecule,C18H21N5O,323.4,NU-6094
CHEMBL446024,GW683003X,Small molecule,C12H9F3N6,294.24,GW683003X
CHEMBL513330,GW781673X,Small molecule,C17H13ClN6,336.79,GW781673X
CHEMBL468963,GW779439X,Small molecule,C22H21F3N8,454.46,"GW779439X, TCMDC-138687"
CHEMBL526110,TCMDC138697,Small molecule,C16H11N7O2,333.31,TCMDC-138697
CHEMBL495696,GW778894X,Small molecule,C17H11N7,313.32,GW778894X
CHEMBL359963,GW805758X,Small molecule,C19H18N6,330.4,GW805758X
CHEMBL588573,TCMDC136678,Small molecule,C24H24Cl2N6O,483.4,TCMDC-136678
CHEMBL226395,METHYLGUANINE,Small molecule,C6H7N5O,165.16,6-O-Methylguanine
CHEMBL127907,WHIP180,Small molecule,C16H15N3O3,297.31,WHI-P180
CHEMBL128000,BUTEIN,Small molecule,C15H12O5,272.26,"3,4,2',4'-Tetrahydroxychalone, Butein"
CHEMBL602280,ARISTOLOCHIC ACID II,Small molecule,C16H9NO6,311.25,Aristolochic acid II
CHEMBL93353,ARISTOLOCHIC ACID,Small molecule,C17H11NO7,341.28,Aristolochic Acid I
CHEMBL465004,ARISTOLOCHIC ACID IV,Small molecule,C18H13NO8,371.3,Aristolochic acid IV
CHEMBL603494,ARISTOLOCHIC ACID C,Small molecule,C16H9NO7,327.25,"Aristolochic acid-IIIa, Aristolochic Acid C"
CHEMBL604748,ARISTOLOCHIC D,Small molecule,C17H11NO8,357.27,"Aristolochic acid-IVa, Aristolochic D"
CHEMBL601026,ARISTOLOCHIC ACID III,Small molecule,C16H9NO7,327.25,Aristolochic acid III
CHEMBL603073,ARISTOLACTAM II,Small molecule,C16H9NO3,263.25,Aristolactam II
CHEMBL479127,ARISTOLACTAM I,Small molecule,C17H11NO4,293.28,Aristolactam I
CHEMBL464748,DICENTRINE,Small molecule,C20H21NO4,339.39,Dicentrine
CHEMBL483825,(-)-Roemerine,Small molecule,C18H17NO2,279.34,(-)-Roemerine
CHEMBL489525,ISOCORYDINE,Small molecule,C20H23NO4,341.41,"(+)-Isocorydine, Isocorydine"
CHEMBL489524,CORYDINE,Small molecule,C20H23NO4,341.41,"Corydine, (+)-Codamine"
CHEMBL227965,CORYTUBERINE,Small molecule,C19H21NO4,327.38,Corytuberine
CHEMBL404097,SALUTARIDINE,Small molecule,C19H21NO4,327.38,"Salutaridine, Sinoacutine"
CHEMBL248095,SINOMENINE,Small molecule,C19H23NO4,329.4,Sinomenine
CHEMBL601020,STEPHANINE,Small molecule,C19H19NO3,309.37,Stephanine
CHEMBL275097,TETRAHYDROBERBERINE,Small molecule,C20H21NO4,339.39,Tetrahydroberberine
CHEMBL2035185,CT1578,Small molecule,C26H30N4O4,462.55,"CT-1578, SB-1578"
CHEMBL233001,GW620972X,Small molecule,C20H16N2OS,332.43,GW620972X
CHEMBL232601,GW846105X,Small molecule,C23H19N3O2S,401.49,GW846105X
CHEMBL373751,GSK319347A,Small molecule,C22H19N3O5S2,469.54,GSK319347A
CHEMBL495771,GW708336X,Small molecule,C17H19N7O,337.39,GW708336X
CHEMBL524901,GW683109X,Small molecule,C17H21N7O,339.4,GW683109X
CHEMBL524057,GW683768X,Small molecule,C15H16N6,280.34,GW683768X
CHEMBL154580,ZM449829,Small molecule,C13H10O,182.22,ZM-449829
CHEMBL184574,DEMETHYLBELLIDIFOLIN,Small molecule,C13H8O6,260.2,"Bellidin, Demethylbellidifolin"
CHEMBL185776,BELLIDIFOLIN,Small molecule,C14H10O6,274.23,Bellidifolin
CHEMBL469039,"1,3,8-Trihydroxyxanthone",Small molecule,C13H8O5,244.2,"1,3,8-Trihydroxyxanthone"
CHEMBL365234,"1,3,5-Trihydroxyxanthone",Small molecule,C13H8O5,244.2,"1,3,5-Trihydroxyxanthone"
CHEMBL258721,RGB286147,Small molecule,C23H22Cl2N4O3,473.36,RGB-286147
CHEMBL75680,ALOISINE A,Small molecule,C16H17N3O,267.33,Aloisine A
CHEMBL564921,DNDI1417002,Small molecule,C13H10N6,250.26,DNDI1417002
CHEMBL1782168,9-Azapaullone,Small molecule,C15H11N3O,249.27,9-Azapaullone
CHEMBL46440,MERIDIANIN D,Small molecule,C12H9BrN4,289.14,Meridianin D
CHEMBL48082,6-Debromomeridianin D,Small molecule,C12H10N4,210.24,6-Debromomeridianin D
CHEMBL177820,TETRABROMOBENZOTRIAZOLE,Small molecule,C6HBr4N3,434.71,"4,5,6,7-Tetrabromobenzotriazole"
CHEMBL297453,EPIGALOCATECHIN GALLATE,Small molecule,C22H18O11,458.38,(-)-Epigallocatechin Gallate
CHEMBL460464,Butyrolactone I 3-Sulfate,Small molecule,C24H24O10S,504.51,Butyrolactone I 3-Sulfate
CHEMBL346551,SKF62604,Small molecule,C16H12N2O2,264.28,SKF-62604
CHEMBL156263,SB376719,Small molecule,C17H14N2O3,294.31,SB-376719
CHEMBL160937,SB390527,Small molecule,C16H11ClN2O3,314.73,SB-390527
CHEMBL160333,SB409514,Small molecule,C16H10Cl2N2O3,349.17,SB-409514
CHEMBL157258,SB390523,Small molecule,C16H9Cl3N2O3,383.62,SB-390523
CHEMBL352222,SB358518,Small molecule,C16H9Cl2N3O5,394.17,SB-358518
CHEMBL156987,SB409513,Small molecule,C17H10Cl2N2O4,377.18,SB-409513
CHEMBL160876,SB360741,Small molecule,C17H10Cl2N2O4,377.18,SB-360741
CHEMBL156524,SB333612,Small molecule,C18H13ClN2O2,324.77,SB-333612
CHEMBL347580,SB361058,Small molecule,C19H16N2O3,320.35,SB-361058
CHEMBL102714,SB216763,Small molecule,C19H12Cl2N2O2,371.22,SB-216763
CHEMBL322970,SB415286,Small molecule,C16H10ClN3O5,359.73,SB-415286
CHEMBL408732,SB711237,Small molecule,C17H16N4O2,308.34,SB-711237
CHEMBL261129,SB732881,Small molecule,C19H20BrN5O2,430.31,SB-732881
CHEMBL103098,SB738482,Small molecule,C17H16N4O3S,356.41,SB-738482
CHEMBL103080,SB742864,Small molecule,C18H18N4O3S,370.43,SB-742864
CHEMBL102936,SB742865,Small molecule,C18H18N4O3S,370.43,SB-742865
CHEMBL261440,SB735465,Small molecule,C17H13F2N3O,313.31,SB-735465
CHEMBL419903,SB735467,Small molecule,C17H14FN3O,295.32,SB-735467
CHEMBL187081,PYRAZOLOPYRIDAZINE 1,Small molecule,C17H14N6O,318.34,"Pyrazolopyridazine 1, GW810576X"
CHEMBL361894,GW806290X,Small molecule,C18H14N6O2,346.35,GW806290X
CHEMBL183993,GW811761X,Small molecule,C19H15F3N6O,400.36,GW811761X
CHEMBL365248,GW810372X,Small molecule,C18H13F3N6O2,402.34,GW810372X
CHEMBL188426,GW807982X,Small molecule,C20H17F3N6O2,430.39,GW807982X
CHEMBL189415,GW819077X,Small molecule,C23H15F3N6,432.41,GW819077X
